incident_id,host_id,host_type,site,failure_type,severity,failure_start,failure_end,duration_hours,detection_time_without_ai,resolution_time_without_ai,mttr_without_ai_hours,detection_time_with_ai,resolution_time_with_ai,mttr_with_ai_hours,mttr_reduction_pct,affected_users_estimate,sla_breach_without_ai,sla_breach_with_ai,root_cause_ai_suggestion,corrective_action_taken,preventive_action_scheduled
INC0001,RB-GUA-001,Router,Nicoya,cpu_spike,High,2024-10-16 00:00:00,2024-10-16 01:55:12,1.92,2024-10-16 03:52:38,2024-10-19 05:17:04,73.41,2024-10-16 00:19:08,2024-10-16 04:44:36,4.42,94.0,488,True,True,High process load - check and restart resource-heavy service,True,False
INC0002,RB-GUA-001,Router,Nicoya,link_down,Disaster,2024-11-12 00:00:00,2024-11-12 07:12:00,7.2,2024-11-12 06:14:58,2024-11-15 15:39:32,81.41,2024-11-12 00:27:36,2024-11-12 14:15:10,13.79,83.1,11,True,True,Physical layer issue - inspect cable/SFP/port configuration,False,False
INC0003,RB-GUA-002,Router,Hojancha,cpu_spike,High,2024-11-05 00:00:00,2024-11-05 14:24:00,14.4,2024-11-05 02:27:32,2024-11-08 21:12:40,90.75,2024-11-05 00:26:04,2024-11-05 19:00:01,18.57,79.5,427,True,True,High process load - check and restart resource-heavy service,False,False
INC0004,SW-GUA-010,Switch,Nicoya,cpu_spike,High,2024-10-08 00:00:00,2024-10-08 03:36:00,3.6,2024-10-08 02:51:48,2024-10-08 20:27:39,17.6,2024-10-08 00:13:59,2024-10-08 10:27:13,10.22,41.9,22,True,True,High process load - check and restart resource-heavy service,True,False
INC0005,SW-GUA-011,Switch,Carmona,temperature_high,Disaster,2024-11-25 00:00:00,2024-11-25 12:00:00,12.0,2024-11-25 04:02:19,2024-11-26 09:08:54,29.11,2024-11-25 00:08:50,2024-11-25 22:00:21,21.86,24.9,219,True,True,"Cooling failure - inspect fans and airflow, check environment",True,True
INC0006,SW-GUA-012,Switch,Mansion,link_down,Disaster,2024-12-28 00:00:00,2024-12-28 06:00:00,6.0,2024-12-28 03:55:53,2024-12-30 13:06:37,57.18,2024-12-28 00:25:29,2024-12-28 12:21:29,11.93,79.1,253,True,True,Physical layer issue - inspect cable/SFP/port configuration,True,True
INC0007,AP-GUA-021,AccessPoint,Samara,link_down,Disaster,2024-10-21 00:00:00,2024-10-21 06:00:00,6.0,2024-10-21 05:38:19,2024-10-22 10:34:17,28.93,2024-10-21 00:15:36,2024-10-21 11:13:31,10.97,62.1,50,True,True,Physical layer issue - inspect cable/SFP/port configuration,True,True
INC0008,AP-GUA-022,AccessPoint,Nosara,memory_leak,High,2024-12-03 00:00:00,2024-12-03 09:36:00,9.6,2024-12-03 01:14:43,2024-12-05 11:37:03,58.37,2024-12-03 00:14:07,2024-12-03 19:09:44,18.93,67.6,478,True,True,Memory leak in process - restart service and apply patch,True,False
INC0009,SRV-GUA-030,Server,DataCenter-Nicoya,memory_leak,High,2024-10-11 00:00:00,2024-10-11 14:24:00,14.4,2024-10-11 03:03:14,2024-10-14 21:00:23,89.95,2024-10-11 00:11:31,2024-10-11 22:16:02,22.08,75.5,156,True,True,Memory leak in process - restart service and apply patch,True,False
INC0010,SRV-GUA-030,Server,DataCenter-Nicoya,disk_full,High,2024-12-10 00:00:00,2024-12-11 12:00:00,36.0,2024-12-10 03:14:01,2024-12-13 09:00:35,77.78,2024-12-10 00:10:03,2024-12-11 16:45:52,40.6,47.8,496,True,True,Log rotation misconfigured - clean logs and adjust rotation policy,False,True
INC0011,LINK-WAN-001,WAN_Link,Nicoya-Hojancha,crc_errors,Warning,2024-10-31 00:00:00,2024-10-31 04:48:00,4.8,2024-10-31 06:13:47,2024-11-01 03:40:26,21.44,2024-10-31 00:24:05,2024-10-31 21:54:32,21.51,-0.3,193,True,True,Physical layer degradation - inspect cable/connector/SFP,True,False
INC0012,LINK-WAN-002,WAN_Link,Nicoya-Samara,bandwidth_saturation,Average,2024-11-15 00:00:00,2024-11-15 12:00:00,12.0,2024-11-15 06:00:59,2024-11-18 10:15:08,76.24,2024-11-15 00:15:52,2024-11-15 18:48:15,18.54,75.7,63,True,True,Traffic burst or DDoS - apply QoS/rate-limit policy,False,False
INC0013,BTS-GUA-040,BaseStation,Cerro-Azul,temperature_high,Disaster,2024-10-26 00:00:00,2024-10-26 07:12:00,7.2,2024-10-26 05:24:58,2024-10-28 16:10:00,58.75,2024-10-26 00:23:04,2024-10-26 21:37:02,21.23,63.9,211,True,True,"Cooling failure - inspect fans and airflow, check environment",False,False
INC0014,BTS-GUA-041,BaseStation,Bejuco,link_down,Disaster,2024-12-20 00:00:00,2024-12-20 19:12:00,19.2,2024-12-20 05:41:06,2024-12-22 03:20:47,45.66,2024-12-20 00:23:59,2024-12-21 00:35:50,24.2,47.0,307,True,True,Physical layer issue - inspect cable/SFP/port configuration,True,True
INC0015,OLT-GUA-050,OLT,Nicoya,fiber_attenuation,High,2024-11-20 00:00:00,2024-11-20 09:36:00,9.6,2024-11-20 02:02:54,2024-11-23 06:25:40,76.38,2024-11-20 00:18:14,2024-11-20 14:36:28,14.3,81.3,257,True,True,Fiber bend/dirty connector - clean or replace fiber span,False,False
